case_id,created_date,resolved_date,status,priority,category,council,subject,search_query,search_found_answer,consultant,resolution_hours
CIA-6001,2026-01-03 01:37,2026-01-03 18:43,Resolved,Low,Property Records,Logan City Council,Cannot bulk update property classification,DocOne CiA setup,No,Tom Bennett,17.1
CIA-6002,2026-02-24 07:32,2026-02-25 06:38,Resolved,High,Payment Files,Cairns Regional Council,Payment workspace not loading transactions,payment workspace,No,Priya Patel,23.1
CIA-6003,2025-12-25 22:25,2025-12-27 10:13,Closed,Medium,Reporting,Brisbane City Council,Report builder permissions question,transition tool error,Yes,James Wilson,35.8
CIA-6004,2026-01-30 12:16,2026-02-01 14:58,Resolved,Critical,Property Records,Toowoomba Regional Council,Property record search returning incorrect results,payment workspace,Yes,Priya Patel,50.7
CIA-6005,2026-02-12 11:32,2026-02-13 04:20,Closed,Medium,Payment Files,Wollongong City Council,Payment allocation rules behaving unexpectedly,levy effective date,No,Sophie Anderson,16.8
CIA-6006,2026-04-18 18:26,2026-04-20 15:32,Resolved,High,Payment Files,Ballarat City Council,Direct debit retry logic question,CDD template,Yes,Sophie Anderson,45.1
CIA-6007,2026-03-21 16:31,2026-03-23 14:25,Closed,Low,Reporting,Brisbane City Council,Report builder permissions question,charge control validator,Yes,Emma Thompson,45.9
CIA-6008,2026-03-27 21:54,2026-03-27 22:12,Resolved,Low,Charge Controls,Logan City Council,How to configure charge group for new development,levy stacking,Yes,Sophie Anderson,0.3
CIA-6009,2026-04-13 07:42,2026-04-14 08:36,Closed,Medium,DocOne,Logan City Council,DocOne CiA template needs update for new rate types,levy effective date,No,Aisha Mohamed,24.9
CIA-6010,2026-02-02 14:43,2026-02-04 12:01,Resolved,Medium,Payment Files,Brisbane City Council,Payment workspace not loading transactions,transition tool error,Yes,David Liu,45.3
CIA-6011,2025-11-21 10:34,2025-11-21 19:22,Closed,Low,Reporting,Wollongong City Council,Custom KPI tile configuration issue,DocOne CiA setup,Yes,James Wilson,8.8
CIA-6012,2026-01-20 22:25,2026-01-21 01:31,Closed,Low,Terminology Help,Sunshine Coast Council,How does Ci 'Levy Code' map to CiA,property record search,Yes,Ravi Kumar,3.1
CIA-6013,2026-01-01 00:07,2026-01-02 02:43,Closed,Medium,CDD & Transition,Wollongong City Council,CDD document section unclear to customer,analytics workspace,Yes,Marcus O'Brien,26.6
CIA-6014,2025-11-28 06:47,2025-11-29 09:23,Resolved,Low,DocOne,Sunshine Coast Council,DocOne merge with new property fields,property record search,No,Ravi Kumar,26.6
CIA-6015,2025-12-15 01:47,2025-12-15 10:35,Resolved,Medium,DocOne,Townsville City Council,DocOne merge with new property fields,CDD template,Yes,David Liu,8.8
CIA-6016,2026-02-15 07:04,2026-02-17 09:16,Closed,High,Terminology Help,Ipswich City Council,Terminology question: Charge Group vs Charge Set,terminology mapping,No,David Liu,50.2
CIA-6017,2025-12-25 16:13,2025-12-27 09:07,Closed,Medium,Reporting,Toowoomba Regional Council,Reporting workspace missing custom fields,analytics workspace,Yes,Aisha Mohamed,40.9
CIA-6018,2026-02-23 16:36,2026-02-24 11:06,Closed,Low,Payment Files,Hawkesbury Council,Payment workspace not loading transactions,payment workspace,No,Ravi Kumar,18.5
CIA-6019,2026-02-17 18:52,2026-02-19 06:34,Closed,Low,User Access,Brisbane City Council,Single sign-on configuration error,DocOne CiA setup,No,Sophie Anderson,35.7
CIA-6020,2025-11-28 22:12,2025-11-30 05:00,Resolved,Medium,Charge Controls,Cairns Regional Council,Levy stacking question for mixed-use property,levy stacking,Yes,David Liu,30.8
CIA-6021,2025-12-06 02:01,2025-12-07 11:01,Closed,Medium,Charge Controls,Townsville City Council,Multi-levy precedence rules unclear,levy stacking,Yes,Emma Thompson,33.0
CIA-6022,2026-01-03 00:43,2026-01-03 14:55,Closed,High,Charge Controls,Sunshine Coast Council,Levy stacking question for mixed-use property,rate qualifier to levy,Yes,Sophie Anderson,14.2
CIA-6023,2026-03-30 04:27,2026-03-31 14:33,Closed,Low,Payment Files,Toowoomba Regional Council,Payment workspace not loading transactions,transition tool error,Yes,Ravi Kumar,34.1
CIA-6024,2026-03-22 14:17,2026-03-24 22:11,Resolved,Low,DocOne,Cairns Regional Council,DocOne merge with new property fields,transition tool error,Yes,Sarah Chen,55.9
CIA-6025,2026-04-27 08:06,2026-04-28 23:06,Closed,Medium,Charge Controls,Newcastle City Council,How to configure charge group for new development,charge group configuration,No,Sarah Chen,39.0
CIA-6026,2025-11-22 05:30,2025-11-23 18:24,Closed,High,DocOne,Gold Coast City Council,DocOne CiA template needs update for new rate types,analytics workspace,Yes,David Liu,36.9
CIA-6027,2025-12-19 19:12,2025-12-20 03:24,Closed,High,Charge Controls,Logan City Council,How to configure charge group for new development,CDD template,Yes,Tom Bennett,8.2
CIA-6028,2026-02-09 00:52,2026-02-09 16:46,Closed,Low,Reporting,Sunshine Coast Council,Custom KPI tile configuration issue,transition tool error,Yes,David Liu,15.9
CIA-6029,2026-05-11 03:43,2026-05-11 16:25,Closed,Medium,Reporting,Toowoomba Regional Council,Custom KPI tile configuration issue,terminology mapping,Yes,Emma Thompson,12.7
CIA-6030,2026-04-27 04:42,2026-04-27 21:24,Resolved,Medium,Payment Files,Toowoomba Regional Council,Payment allocation rules behaving unexpectedly,levy effective date,Yes,David Liu,16.7
